Kecamatan;perempuan;KK_perempuan;lansia;pengangguran;wajib_ktp;banjir;informal;RS;puskesmas;positiv_cov;rawat;isoman;Kode
Cakung;49,2096;18,05886421;6,21749541;0,531982012;70,20066458;31;6,503218325;1;9;11740;82;102;IDN.7.4.1_1
Cempaka Putih;50,0816;23,0032594;10,85232662;0,538342025;75,12539967;0;13,91084382;2;4;4998;50;17;IDN.7.2.1_1
Cengkareng;49,3437;18,54967575;6,585898344;0,515692379;70,84496092;55;6,79164911;1;10;13036;109;146;IDN.7.1.1_1
Cilandak;50,4252;20,79268293;9,310705981;0,26673;73,73298067;2;10,86954571;3;6;8201;62;114;IDN.7.3.1_1
Cilincing;49,4534;20,51345838;5,975217781;0,652699934;68,92114439;38;11,26661009;1;10;7899;73;63;IDN.7.5.1_1
Cipayung;49,6205;17,1236252;7,000645126;0,871059169;71,1721388;15;14,25827319;0;11;10437;63;124;IDN.7.4.2_1
Ciracas;49,6704;18,68758066;7,754256425;0,604109138;71,58467529;8;7,188402232;1;6;9529;73;108;IDN.7.4.3_1
Duren Sawit;50,1246;19,61388141;9,273389395;0,481295477;72,23914605;2;6,425025458;2;12;14329;139;145;IDN.7.4.4_1
Gambir;49,5283;25,08301908;13,2194931;0,695628047;76,54173598;0;20,02002995;1;4;3796;25;42;IDN.7.2.2_1
Grogolpetamburan;50,2681;22,92100375;11,35929004;0,500166441;75,13738725;28;15,08248428;3;10;8298;67;43;IDN.7.1.2_1
Jagakarsa;49,7771;18,43174479;7,278065278;0,346977832;71,34161959;12;10,82372128;3;6;11785;80;175;IDN.7.3.2_1
Jatinegara;49,6655;22,51520546;9,316096646;0,633933656;72,7711915;32;11,14357992;2;12;8948;55;87;IDN.7.4.5_1
Johar Baru;49,3076;22,44637927;9,425287356;0,586852032;73,04939792;2;16,6180818;0;7;4179;25;19;IDN.7.2.3_1
Kalideres;49,4104;17,54790845;5,872704725;0,477235917;70,67470319;0;6,441996732;1;13;8039;73;50;IDN.7.1.3_1
